Número;Resistencia;Máquina;Tiempo
1;407;A;24
2;432;B;18
3;424;A;22
4;442;A;18
5;458;A;27
6;419;B;26
7;429;A;25
8;436;B;31
9;455;A;19
10;437;B;32
11;442;B;31
12;427;B;30
13;432;A;24
14;441;A;21
15;423;A;26
16;449;B;20
17;421;B;27
18;436;A;16
19;443;B;23
20;420;A;24
21;437;B;28
22;426;A;30
23;433;A;31
24;431;A;24
25;450;B;16
26;441;B;23
27;411;A;23
28;439;B;17
29;425;A;16
30;434;B;28
31;441;A;25
32;430;A;21
33;419;B;32
34;429;B;29
35;436;B;29
36;455;A;24
37;437;A;26
38;442;A;26
39;436;A;30
40;443;A;25
41;420;A;31
42;437;A;18
43;426;A;23
44;433;B;24
45;431;B;17
46;450;B;22
47;441;A;27
48;423;B;17
49;449;B;17
50;442;A;30
51;458;A;27
52;419;A;26
53;429;B;25
54;431;B;21
55;450;B;24
56;441;A;20
57;411;B;28
58;439;A;30
59;400;B;28
60;430;A;18
61;423;A;31
62;449;B;31
63;421;B;22
64;436;A;29
65;443;B;31
66;420;A;32
67;437;B;29
68;426;A;22
69;433;A;19
70;431;A;22
71;450;B;16
72;441;B;31
73;411;A;28
74;429;A;20
75;436;B;26
76;455;A;30
77;437;B;21
78;442;B;30
79;427;B;29
80;432;A;19
81;441;A;18
82;423;A;27
83;433;A;30
84;431;A;32
85;450;B;29
86;441;B;24
87;411;A;22
88;429;A;16
89;436;B;19
90;455;A;24
91;442;A;31
92;458;A;27
93;419;B;25
94;429;A;26
95;436;B;17
96;455;A;24
97;437;B;26
98;442;B;18
99;427;B;22
100;432;A;28
